id_produtos_orcamento,idproduto,idorcamento,descricao,quantidade1,quantidade2,quantidade3,quantidade4,quantidade5,quantidade6,quantidade7,valor1,valor2,valor3,valor4,valor5,valor6,valor7
84033,272,27313,'frasqueira em nylon. Impressão Serigrafia. 1 cor\r\n\r\nTamanho: 19x12x14 cm.\r\n ',0,0,300,0,0,0,0,0,0,16,0,0,0,0
84034,869,27313,'MANTA. 1 cor\r\n\r\nEM FALTA!!!',50,0,0,0,0,0,0,0,0,0,0,0,0,0
84035,222,27313,'touca recém nascido. Impressão Serigrafia. 1 cor\r\n\r\nTamanho: 11x14 cm.\r\nQuantidade Mínima: 300 peças.',0,0,0,500,0,0,0,0,0,0,5.5,0,0,0
84036,1348,27313,"'Máscara em algodão impressão\r\n \r\nMáscara comunitária/social ideal para ser usada pela população em geral.\r\n\""este material não esta classificado/destinada para uso como EPI\"". 1 cor\r\n\r\nQuantidade Mínima: 300 peças.'",0,0,300,0,0,0,0,0,0,6.9,0,0,0,0
84037,1339,27313,"'Estojo para lápis/canetas. Nylon 600D. 210 x 85 x 65 mm . \r\nImpressão 1 cor\r\n\r\nTamanho: 21 x 8,5 x 6,5 cm.\r\n '",0,0,300,0,0,0,0,0,0,8.3,0,0,0,0
84038,884,27313,'COPO ACRÍLICO 330 ml. Impressão 1 cor\r\n\r\nQuantidade Mínima: 200 peças.',0,0,250,0,0,0,0,0,0,4.95,0,0,0,0
84039,51,27313,'squeeze plásstico 500ml. Impressão Serigrafia. 1 cor\r\n\r\nTamanho: 6x19 cm.\r\nQuantidade Mínima: 200 peças.',0,0,250,0,0,0,0,0,0,5,0,0,0,0
84040,963,27314,"'Caneta Plástica, Impressão. 1 cor\r\n\r\nQuantidade Mínima: 300 peças.'",0,0,300,0,0,0,0,0,0,3.3,0,0,0,0
84041,297,27314,'caneta plástica. Impressão Serigrafia. 1 cor\r\n\r\nQuantidade Mínima: 300 peças.',0,0,300,0,0,0,0,0,0,3,0,0,0,0
84042,807,27315,'MOCHILA NYLON. Impressão SOMENTE 1 cor\r\n\r\nTamanho: 35 x 40 cm.\r\nQuantidade Mínima: 100 peças.',0,100,0,0,0,0,0,0,8.9,0,0,0,0,0
84043,410,27315,"'chaveiro abridor em metal. Gravação Laser.  \r\n\r\nTamanho: 8 x 1,8 cm.\r\nQuantidade Mínima: 100 peças.'",0,100,0,0,0,0,0,0,3.8,0,0,0,0,0
84044,1310,27315,'Kit manicure c/ 4 pçs. Impressão 1 cor\r\n\r\nTamanho: 10 x 5 x 2 cm.\r\nQuantidade Mínima: 100 peças.',0,100,0,0,0,0,0,0,9.8,0,0,0,0,0
84045,1315,27315,'Cuia e Bomba. Gravação laser cuia \r\n\r\nQuantidade Mínima: 100 peças.',0,100,0,0,0,0,0,0,55,0,0,0,0,0
84046,1048,27315,'Kit Churrasco com: Avental em microfibra. Impressão\r\n \r\n\r\nEM FALTA!!!!\r\n ',50,0,0,0,0,0,0,0,0,0,0,0,0,0
84047,1183,27315,"'Garrafa de alumínio 600ml \r\n Impressão  1 cor\r\n\r\nTamanho: 25,0xø6,4x21 cm.\r\nQuantidade Mínima: 50 peças.'",0,70,0,0,0,0,0,0,28.5,0,0,0,0,0
84048,862,27316,'GUARDA CHUVA IMPRESSÃO 1 cor\r\n\r\nMúltiplo de 36 peças ',0,144,0,0,0,0,0,0,35,0,0,0,0,0
84049,1028,27316,'Guarda-chuva cabo madeira curvo automático 8 varetas. Impressão. 1 cor\r\n\r\nQuantidade Mínima: 108 peças.',0,130,0,0,0,0,0,0,33,0,0,0,0,0
84050,887,27317,'SQUEEZE PLÁSTICO. 1 Gravação laser\r\n\r\nQuantidade Mínima: 100 peças.',0,100,0,0,0,0,0,0,14,0,0,0,0,0
84051,1170,27317,"'Garrafa plástica 750ml. Impressão 1 cor\r\n\r\nTamanho: 25xø7,4 cm.\r\nQuantidade Mínima: 100 peças.'",0,100,0,0,0,0,0,0,24,0,0,0,0,0
