id_produtos_orcamento,idproduto,idorcamento,descricao,quantidade1,quantidade2,quantidade3,quantidade4,quantidade5,quantidade6,quantidade7,valor1,valor2,valor3,valor4,valor5,valor6,valor7
84033,272,27313,frasqueira em nylon. Impressão Serigrafia. 1 cor\r\n\r\nTamanho: 19x12x14 cm.\r\n ,0,0,300,0,0,0,0,0,0,16,0,0,0,0
84034,869,27313,MANTA. 1 cor\r\n\r\nEM FALTA!!!,50,0,0,0,0,0,0,0,0,0,0,0,0,0
84039,51,27313,squeeze plásstico 500ml. Impressão Serigrafia. 1 cor\r\n\r\nTamanho: 6x19 cm.\r\nQuantidade Mínima: 200 peças.,0,0,250,0,0,0,0,0,0,5,0,0,0,0
84041,297,27314,caneta plástica. Impressão Serigrafia. 1 cor\r\n\r\nQuantidade Mínima: 300 peças.,0,0,300,0,0,0,0,0,0,3,0,0,0,0
84045,1315,27315,Cuia e Bomba. Gravação laser cuia \r\n\r\nQuantidade Mínima: 100 peças.,0,100,0,0,0,0,0,0,55,0,0,0,0,0
84046,1048,27315,Kit Churrasco com: Avental em microfibra. Impressão\r\n \r\n\r\nEM FALTA!!!!\r\n ,50,0,0,0,0,0,0,0,0,0,0,0,0,0
84048,862,27316,GUARDA CHUVA IMPRESSÃO 1 cor\r\n\r\nMúltiplo de 36 peças ,0,144,0,0,0,0,0,0,35,0,0,0,0,0
84049,1028,27316,Guarda-chuva cabo madeira curvo automático 8 varetas. Impressão. 1 cor\r\n\r\nQuantidade Mínima: 108 peças.,0,130,0,0,0,0,0,0,33,0,0,0,0,0
84050,887,27317,SQUEEZE PLÁSTICO. 1 Gravação laser\r\n\r\nQuantidade Mínima: 100 peças.,0,100,0,0,0,0,0,0,14,0,0,0,0,0
84051,1170,27317,"Garrafa plástica 750ml. Impressão 1 cor\r\n\r\nTamanho: 25xø7,4 cm.\r\nQuantidade Mínima: 100 peças.",0,100,0,0,0,0,0,0,24,0,0,0,0,0
84053,1317,27319,"Fone Bluetooth com Case Carregador. \r\nImpressão 1 cor\r\n\r\nTamanho: 6,7 x 5,5 cm.\r\nQuantidade Mínima: 50 peças.",50,0,0,0,0,0,0,58,0,0,0,0,0,0
84054,1259,27319,"Pasta A4. Couro sintético e poliéster. Interior em microfibra. Bloco: 20 folhas pautadas. \r\nEsferográfica não inclusa.  Impressão  1 cor\r\n\r\nTamanho: 24,5 x 31,5 x 1,5 cm.\r\nQuantidade Mínima: 50 peças.",50,0,0,0,0,0,0,67,0,0,0,0,0,0
84055,955,27319,Moleskine capa dura com aproximadamente  80 folhas\r\n1 Caneta de metal esferográfica  Impressão. 1 cor\r\n\r\nQuantidade Mínima: 50 peças.,50,0,0,0,0,0,0,39,0,0,0,0,0,0
84057,1278,27319,"Caixa de som Bluetooth portátil\r\n- Entrada USB\r\n- Entrada de cartão de memória micro SD\r\n- Possui rádio FM\r\n- Potência 5W\r\n- Duração da bateria: 4h. \r\nImpressão 1 cor (lateral ou verso)\r\n\r\nTamanho: 7,8x11,5x3,8 cm.\r\nQuantidade Mínima: 50 peças.",50,0,0,0,0,0,0,56,0,0,0,0,0,0
84058,348,27319,"estojo de papel e metal. Gravação Laser. 1 cor\r\n\r\nTamanho: 18x6,5 cm.\r\nEM FALTA!!",50,0,0,0,0,0,0,0,0,0,0,0,0,0
84059,803,27319,"SACOLA TNT 0,80gr. Impressão . 1 cor\r\n\r\nTamanho: 27x35 cm.\r\nQuantidade Mínima: 100 peças.",0,100,0,0,0,0,0,0,7,0,0,0,0,0
84060,974,27320,PENDRIVE TWIST 16 GB. 1 Gravação laser\r\n Garantia memória 1 ano\r\n\r\nQuantidade Mínima: 100 peças.,0,100,0,0,0,0,0,0,39,0,0,0,0,0
84062,749,27322,Toalha de Banho. 100% algodão 5 0 g/m². 1 Bordado até 7 cm\r\n\r\n \r\nQuantidade Mínima: 50 peças.,50,0,0,0,0,0,0,70,0,0,0,0,0,0
